timestamp,elapsed_seconds,cpu_percent,cpu_count,memory_used,memory_total,memory_percent,tts_process_memory_mb,tts_process_cpu_percent
2026-05-27T14:50:12.435818,0.0,0.0,16,19.15700912475586,27.291797637939453,70.2,834.46484375,0.0
2026-05-27T14:50:14.763272,2.33,12.7,16,19.196605682373047,27.291797637939453,70.3,834.46484375,0.0
2026-05-27T14:50:17.207556,4.77,16.3,16,19.201675415039062,27.291797637939453,70.4,834.46484375,0.0
2026-05-27T14:50:19.701826,7.27,19.0,16,19.199573516845703,27.291797637939453,70.3,834.46484375,0.0
2026-05-27T14:50:22.296250,9.86,17.4,16,19.192584991455078,27.291797637939453,70.3,834.46484375,0.0
2026-05-27T14:50:24.813048,12.38,16.6,16,19.185474395751953,27.291797637939453,70.3,834.46484375,0.0
2026-05-27T14:50:27.335921,14.9,16.6,16,19.11322021484375,27.291797637939453,70.0,834.46484375,0.0
2026-05-27T14:50:29.872992,17.44,12.0,16,19.11056137084961,27.291797637939453,70.0,834.46484375,0.0
2026-05-27T14:50:32.354529,19.92,13.0,16,19.103931427001953,27.291797637939453,70.0,834.46484375,0.0
2026-05-27T14:50:34.866180,22.43,13.5,16,19.066669464111328,27.291797637939453,69.9,834.46484375,0.0
2026-05-27T14:50:37.332930,24.9,12.3,16,19.080467224121094,27.291797637939453,69.9,834.46484375,0.0
2026-05-27T14:50:39.882316,27.45,18.7,16,19.134262084960938,27.291797637939453,70.1,834.46484375,0.0
2026-05-27T14:50:42.362225,29.93,20.8,16,19.134815216064453,27.291797637939453,70.1,822.32421875,0.0
2026-05-27T14:50:44.830288,32.4,20.0,16,18.865867614746094,27.291797637939453,69.1,822.32421875,0.0
2026-05-27T14:50:47.281005,34.85,17.3,16,18.64019775390625,27.291797637939453,68.3,822.32421875,0.0
2026-05-27T14:50:49.778671,37.34,17.0,16,18.6248779296875,27.291797637939453,68.2,822.32421875,0.0
2026-05-27T14:50:52.374506,39.94,17.7,16,18.65802001953125,27.291797637939453,68.4,822.4375,0.0
2026-05-27T14:50:54.870924,42.44,20.4,16,18.693767547607422,27.291797637939453,68.5,822.4375,0.0
2026-05-27T14:50:57.390266,44.96,19.8,16,18.709449768066406,27.291797637939453,68.6,822.4375,0.0
2026-05-27T14:51:00.066831,47.63,33.6,16,18.73825454711914,27.291797637939453,68.7,822.4375,0.0
2026-05-27T14:51:02.756775,50.32,28.9,16,18.7210693359375,27.291797637939453,68.6,822.4375,0.0
2026-05-27T14:51:05.394254,52.96,28.2,16,18.699138641357422,27.291797637939453,68.5,822.4375,0.0
2026-05-27T14:51:08.002301,55.57,27.4,16,18.704364776611328,27.291797637939453,68.5,822.4375,0.0
2026-05-27T14:51:10.617152,58.18,29.6,16,18.722911834716797,27.291797637939453,68.6,822.4375,0.0
2026-05-27T14:51:13.279867,60.84,28.8,16,18.73092269897461,27.291797637939453,68.6,822.4375,0.0
2026-05-27T14:51:15.982904,63.55,35.2,16,19.096885681152344,27.291797637939453,70.0,822.4375,0.0
2026-05-27T14:51:18.869295,66.43,45.1,16,19.009449005126953,27.291797637939453,69.7,822.4375,0.0
2026-05-27T14:51:21.794121,69.36,44.7,16,19.016159057617188,27.291797637939453,69.7,822.4375,0.0
2026-05-27T14:51:24.557034,72.12,36.1,16,18.939777374267578,27.291797637939453,69.4,822.4375,0.0
2026-05-27T14:51:27.239992,74.81,33.4,16,19.011005401611328,27.291797637939453,69.7,822.4375,0.0
2026-05-27T14:51:30.108640,77.67,38.7,16,18.945568084716797,27.291797637939453,69.4,822.4375,0.0
2026-05-27T14:51:33.003141,80.57,36.4,16,19.021774291992188,27.291797637939453,69.7,822.4375,0.0
2026-05-27T14:51:35.616460,83.18,24.5,16,18.994850158691406,27.291797637939453,69.6,822.4375,0.0
2026-05-27T14:51:38.192569,85.76,20.1,16,19.00442123413086,27.291797637939453,69.6,822.4375,0.0
2026-05-27T14:51:40.782369,88.35,23.8,16,18.984073638916016,27.291797637939453,69.6,822.4375,0.0
2026-05-27T14:51:43.403354,90.97,23.9,16,18.962451934814453,27.291797637939453,69.5,822.4375,0.0
2026-05-27T14:51:46.072976,93.64,32.7,16,19.172687530517578,27.291797637939453,70.3,822.4375,0.0
2026-05-27T14:51:49.013406,96.58,43.1,16,19.266132354736328,27.291797637939453,70.6,822.4375,0.0
2026-05-27T14:51:51.671484,99.24,31.9,16,19.164562225341797,27.291797637939453,70.2,822.4375,0.0
2026-05-27T14:51:54.294065,101.86,32.6,16,19.162490844726562,27.291797637939453,70.2,822.4375,0.0
2026-05-27T14:51:56.970972,104.54,31.6,16,18.993953704833984,27.291797637939453,69.6,822.4375,15.6
2026-05-27T14:51:59.589996,107.16,27.9,16,18.941482543945312,27.291797637939453,69.4,822.4375,0.0
2026-05-27T14:52:02.242423,109.81,34.3,16,18.906635284423828,27.291797637939453,69.3,822.4375,0.0
2026-05-27T14:52:04.848255,112.41,35.0,16,18.945175170898438,27.291797637939453,69.4,822.4375,0.0
2026-05-27T14:52:07.448967,115.01,27.4,16,18.94348907470703,27.291797637939453,69.4,822.4375,0.0
2026-05-27T14:52:10.029958,117.6,24.6,16,18.984817504882812,27.291797637939453,69.6,822.4375,0.0
